"","symbol","mean","stddev"
"183","SYCN",0.236137399021748,0.804166897952
"184","MFAP4",0.00998760237725311,0.117331871876467
"185","BTNL8",0.00104872363708101,0.0278195385831319
"186","CYP1A1",0.10846357036098,0.521905489126056
"187","SERPINB4",0.00652951258007759,0.100858040079796
"188","PI3",0.0375370161508148,0.298715662389994
"189","GAL",0.046889841409558,0.265966290249754
"190","SAMSN1",0.0161700641148492,0.169753679390951
"191","PTGS2",0.0812295311053385,0.427461321395573
"192","RBP4",0.679861359525861,1.24754132472951
"193","CHSY3",0.00250108283599374,0.0475282871432048
"194","TGFB3",0.0416303939927213,0.251584172732565
"195","CDH19",0.00636001594568822,0.105791384984084
"196","SELL",0.00235950920395648,0.0522410949325055
"197","TEX29",0.00283524468246637,0.050350476431313
"198","REG3G",0.154546048227635,0.598864467609322
"199","SPRR3",0.00401996283942043,0.0802149914737426
"200","CD53",0.0206488943145849,0.216642874156319
"201","PCDH8",0.00675322998401739,0.0929720264300175
"202","C6orf222",0.0879603320799444,0.359237093025451
"203","CDH11",0.0394905573499138,0.242996035421342
"204","CD226",0.00133863503036004,0.0357209225385063
"205","HPGDS",0.018798895753409,0.186577628934737
"206","SEMA4A",0.0228727622640817,0.155135846473597
"207","GZMB",0.00263472400277432,0.0652890720474644
"208","HMGCS2",0.0169867506953773,0.16012912551458
"209","FBXL7",0.00919984598585346,0.100392946371307
"210","CHGB",2.15535571859535,1.71605976925007
"211","HS3ST2",0.00531001616062218,0.095181049360735
"212","FCER1G",0.0271021916540251,0.258218406945763
"213","KLK1",0.210755091211909,0.634742420465526
"214","CD52",0.0108330037722088,0.164922039942759
"215","CLEC6A",0.000843366083132429,0.034951417371556
"216","OR5B21",0.000144093962158692,0.0112938150486036
"217","CILP",0.00334848552733999,0.0670916837396226
"218","DEPDC1",0.00400820366381249,0.0569622474819024
"219","SLCO2A1",0.0271549362308148,0.223127971312475
"220","SERPINE1",0.212381327178818,0.747641702097658
"221","GABRA5",0.00109163804085766,0.0292664002332273
"222","NGFR",0.0129190155073336,0.150266943584127
"223","SOX4",0.748928239859464,1.08189223146787
"224","ZCCHC24",0.0363349517638823,0.206949297224821
"225","MYCT1",0.0243664952715797,0.215429002693394
"226","CD4",0.0156972094717853,0.148933761387298
"227","CLDN2",0.070187202267993,0.363406177247964
"228","FGG",0.0361052800927476,0.275090450600429
"229","MIR137HG",0.000819563909813649,0.0220458012226685
"230","CXCL1",0.167362673306567,0.62990702669627
"231","HAPLN4",0.0299906671051738,0.20362943446231
"232","CCL2",0.209280713999807,0.71192984663332
"233","PLVAP",0.0968837205871503,0.574580198180901
"234","PSG4",0.01556194288411,0.125503516483638
"235","DSCR9",0.00112885650368033,0.0275135870830339
"236","ACTN2",0.00220578296609814,0.0408766880958342
"237","HADH",0.734613175708753,0.982209588149795
"238","OLFML2B",0.0134477659153186,0.136367099234439
"239","PODXL",0.104075787130896,0.444679455862766
"240","KCNH1",0.0236016808979595,0.171393634899707
"241","CDK15",0.000855798978868859,0.0316733596494766
"242","TAC1",0.00935391889903746,0.120673858246818
"243","WDFY4",0.00130885419971975,0.0402618391201601
"244","KYNU",0.0150087756270005,0.123706177039654
"245","FGA",0.0222664979771958,0.196421060782915
"246","ITGA5",0.186201372855666,0.553693536821051
"247","DTX1",0.017831463653922,0.143111885269268
"248","DHRS9",0.0168731326000816,0.170797914852965
"249","CCNA1",0.00479188349171816,0.0681782470975794
"250","HCK",0.0125140265372939,0.155343419563144
"251","CCDC80",0.0217490294849517,0.16250360334084
"252","KLK13",0.000978298155629686,0.0271961517439849
"253","SAT1",1.2137037456344,1.22941304859056
"254","TM4SF1",0.757066125778864,1.12366350312863
"255","SLC6A12",0.00166158568842897,0.0368923541763966
"256","PP14571",0.000520540701858953,0.0214663272820992
"257","IP6K3",0.000636635080527538,0.0216109639982539
"258","ANLN",0.00576391601892898,0.0814485981634307
"259","PMP2",0.00146082430394731,0.0489781020182844
"260","CPZ",0.00190064386740416,0.0415549047875735
"261","PCK1",0.0628604444347163,0.357484926517653
"262","CPXM2",0.00739789186591141,0.0885001246548581
"263","BAAT",0.030295427282794,0.185867462656348
"264","GPR34",0.00427801227503321,0.0756908420706092
"265","OVOL1",0.0202439084486498,0.146093940413805
"266","ZSWIM2",0.000405101368426287,0.0193704520212504
"267","GUCY2C",0.0096743697703409,0.116877841932538
"268","PPM1J",0.0142911956320859,0.11482426591922
"269","ENC1",0.139230694316117,0.436153482542957
"270","RNF17",0.00109614332363736,0.0248635496389994
"271","CNTNAP4",0.000957402104585947,0.029172158516599
"272","ALOX5AP",0.0244542953237496,0.22326083740659
"273","POU2F3",0.00750587273881621,0.083895045103937
"274","RNASE1",0.252001332770288,0.709472025745689
"275","CYP21A2",0.00100565325197716,0.030678850871213
"276","MT1H",0.0348863625456391,0.241978767585498
"277","PXDN",0.171053362823681,0.617079687274134
"278","PDE2A",0.0330745449180868,0.226230661518863
"279","CTGF",0.154197533793546,0.571347951730456
"280","AGR2",0.0172048045614988,0.159407450024347
"281","ENG",0.159226618277848,0.634686570916882
"282","ATP12A",0.000426901916955114,0.0185706272580122
"283","ZP2",0.000422800488413585,0.0173745672604197
"284","GSTA1",0.246432060516041,0.698510087630351
"285","SLAMF9",0.00199664090344827,0.0530320536630534
"286","RNF175",0.000698200071764262,0.0225751212187575
